Tick,AntID,MvFwd,MvBck,MvRit,MvLft,Eat,Dig,Hlth,Bld,Nil,Action,Fitness
1,18,0.6680905,0.641074,0.5835956,0.3616717,0.02005171,-0.6260684,-0.4165123,-0.4686005,0.6426979,ForwardMove,5.679132
1,420,-0.1334844,-0.1031711,-0.1050349,0.5092422,-0.4946069,0.7836357,-0.1195771,0.7793061,0.2341058,Dig,0.9902
 
ANTVOLUTION
Ant: 18 mated with Ant: 9
 
2,0,0.4797106,0.5379716,0.3821483,0.4549627,-0.05045298,-0.5222996,-0.270351,-0.5195966,0.6257616,Nothing,4.930211
2,1,0.4916301,0.5486473,0.3878114,0.4559295,-0.04463894,-0.5503451,-0.2836367,-0.5192788,0.6297833,Nothing,5.463931
2,2,0.4924807,0.549237,0.3877662,0.4551794,-0.04490362,-0.5510035,-0.2833576,-0.5195448,0.6287023,Nothing,5.54479
2,3,0.4896888,0.546395,0.3874691,0.4573153,-0.04477225,-0.5466087,-0.2814153,-0.5189942,0.6312146,Nothing,5.222048
2,4,-0.2403359,0.3476716,0.09503714,0.2357752,-0.2660889,0.4956095,-0.5402572,-0.4252129,0.3545335,Dig,4.698183
2,5,0.4905642,0.5476068,0.3877456,0.4568159,-0.04452199,-0.5488368,-0.2830868,-0.5190325,0.6308702,Nothing,5.336953
2,6,0.4890946,0.5454999,0.387153,0.457433,-0.0451252,-0.5446935,-0.2798713,-0.5190597,0.6310771,Nothing,5.157573
2,7,0.3650791,0.5055192,0.3400625,0.4273703,-0.08827662,-0.3601238,-0.3236228,-0.5061314,0.5915906,Nothing,4.806375
2,8,0.490358,0.5473492,0.3877034,0.4569629,-0.04454683,-0.5484021,-0.2827989,-0.5190067,0.631011,Nothing,5.309562
2,9,0.4926002,0.5493091,0.3877563,0.4550741,-0.04494776,-0.5510734,-0.2832881,-0.5195845,0.6285432,Nothing,5.555014
2,10,0.4901986,0.5471368,0.3876614,0.457066,-0.04458011,-0.5480273,-0.2825291,-0.5189936,0.6310964,Nothing,5.288223
2,11,0.4896446,0.546328,0.3874485,0.4573303,-0.04479456,-0.5464727,-0.281305,-0.5189971,0.6312135,Nothing,5.216675
2,12,0.4900944,0.5469918,0.3876293,0.4571278,-0.0446089,-0.547763,-0.2823302,-0.5189884,0.6311403,Nothing,5.274277
2,13,0.4892656,0.5457533,0.387251,0.4574166,-0.04501414,-0.5452569,-0.2803201,-0.5190362,0.6311407,Nothing,5.174309
2,14,0.4902936,0.5472648,0.3876874,0.4570058,-0.04455875,-0.5482549,-0.282695,-0.5190006,0.6310481,Nothing,5.300949
2,15,0.4771698,0.5366645,0.3809909,0.4542381,-0.05160999,-0.5175655,-0.2698185,-0.5195361,0.6245884,Nothing,4.91434
2,16,0.4882901,0.5444072,0.3866615,0.4573809,-0.04568323,-0.54209,-0.2779244,-0.5191846,0.6306374,Nothing,5.096801
2,17,0.4912103,0.5482888,0.3878089,0.4562932,-0.04455388,-0.5498727,-0.2835782,-0.5191647,0.6302641,Nothing,5.417291
2,18,0.4934126,0.5497506,0.387676,0.4543622,-0.0452776,-0.5514513,-0.2826819,-0.5198625,0.6274341,Nothing,5.617414
2,420,-0.13347,-0.1031712,-0.1050417,0.509241,-0.4946094,0.7836319,-0.1195468,0.7793086,0.234092,Dig,0.9803
3,0,0.478125,0.5370069,0.381321,0.4544095,-0.05133377,-0.5189216,-0.2695552,-0.5195962,0.6247883,Nothing,4.869737
3,1,0.4917055,0.5485811,0.3877682,0.4558782,-0.04472077,-0.5501876,-0.2833478,-0.5192995,0.6296452,Nothing,5.403571
3,2,0.4925256,0.5491604,0.3877284,0.4551555,-0.04496879,-0.5508456,-0.2831095,-0.5195536,0.6286104,Nothing,5.481083
3,3,0.4897279,0.5462504,0.3873931,0.4572589,-0.04489725,-0.5462713,-0.280953,-0.5190283,0.6310359,Nothing,5.161669
