Epoch,Generation,Top Ant Fitness, Queen Fitness, Blocks Built
1,1,4.879375,1.04,0
1,2,4.815985,1.08,0
1,3,4.754775,1.12,0
1,4,4.69416,1.16,0
1,5,4.633789,1.2,0
1,6,4.432943,1.18,0
1,7,4.312943,1.16,0
1,8,4.192943,1.14,0
1,9,4.072943,1.12,0
1,10,3.952943,1.1,0
1,11,3.832943,1.08,0
